시/도,구,단지명,URL,전용면적,평수,층,시군구,실거래가,매매_계약일자,매매최고가,갭투자구분,갭투자금액,전세가율,전세가,전세_계약일자
경상북도,경산시,경산우방유쉘 ( 2009년),https://new.land.naver.com/complexes/26091,114.1048㎡,42평,9층,경산시 옥곡동,3억9천,2024.01.27,4억5천,전세낀매수,7천500,80,3억1천500,2022.11.03
경상북도,경산시,펜타힐즈더샵2차 ( 2018년),https://new.land.naver.com/complexes/111164,77.968㎡,31평,18층,경산시 중산동,3억8천500,2024.02.28,5억8천,전세낀매수,1억4천490,62,2억4천10,2023.09.10
경상북도,경산시,중방스타힐스 ( 2023년),"https://new.land.naver.com/complexes?ms=35.825092,128.74135,16&e=RETAIL",73.9873㎡,,22층,경산시 중방동,3억8천,2024.02.29,3억7천,전세낀매수,1억8천,52,2억,2023.07.18
경상북도,경산시,힐스테이트펜타힐즈 ( 2021년),https://new.land.naver.com/complexes/123383,72.34㎡,28B평,4층,경산시 중산동,3억7천500,2024.03.07,4억9천500,전세낀매수,1억3천500,64,2억4천,2023.03.12
경상북도,경산시,정평역하늘채RIVERPARK ( 2020년),,74.958㎡,,19층,경산시 정평동,3억6천700,2024.01.23,4억6천,전세낀매수,1억1천700,68,2억5천,2023.09.19
경상북도,경산시,경산 삼도뷰엔빌W ( 2018년),https://new.land.naver.com/complexes/110539,102.5876㎡,39평,10층,경산시 백천동,3억6천500,2024.01.07,4억2천,전세낀매수,1천500,95,3억5천,2021.11.27
경상북도,경산시,펜타힐즈푸르지오 ( 2019년),https://new.land.naver.com/complexes/113658,72.3077㎡,29B평,27층,경산시 중산동,3억5천600,2024.03.18,5억4천500,전세낀매수,1억600,70,2억5천,2022.11.20
경상북도,경산시,펜타힐즈더샵1차 ( 2017년),https://new.land.naver.com/complexes/108994,72.7097㎡,29평,20층,경산시 중산동,3억5천500,2024.03.18,5억1천800,전세낀매수,1억2천500,64,2억3천,2022.11.26
경상북도,경산시,중방e-편한세상1단지 ( 2010년),https://new.land.naver.com/complexes/26484,84.895㎡,33B평,13층,경산시 중방동,3억5천500,2024.02.13,4억7천,전세낀매수,1억,71,2억5천500,2016.06.08
경상북도,경산시,경산임당호반베르디움 ( 2019년),https://new.land.naver.com/complexes/114164,59.8942㎡,23B평,19층,경산시 계양동,3억5천300,2024.03.08,3억9천,전세낀매수,7천300,79,2억8천,2021.05.19
경상북도,경산시,경산진량호반써밋더포레스트 ( 2020년),,84.9777㎡,34평,11층,진량읍 선화리,3억5천,2024.03.08,3억8천500,전세낀매수,9천,74,2억6천,2024.02.11
경상북도,경산시,경산하양우미린더센트럴 ( 2021년),https://new.land.naver.com/complexes/124875,84.9644㎡,33A평,20층,하양읍 서사리,3억5천,2024.02.12,3억8천,전세낀매수,1억2천,65,2억3천,2023.11.13
경상북도,경산시,옥산신화평광 ( 1996년),https://new.land.naver.com/complexes/4038,123.12㎡,41평,12층,경산시 옥산동,3억4천800,2024.02.14,3억6천,전세낀매수,3천800,89,3억1천,2022.02.14
경상북도,경산시,중방e-편한세상2단지 ( 2010년),https://new.land.naver.com/complexes/26485,84.887㎡,34A평,6층,경산시 중방동,3억4천,2024.02.03,4억4천500,전세낀매수,6천500,80,2억7천500,2021.08.04
경상북도,경산시,펜타힐즈더샵1차 ( 2017년),https://new.land.naver.com/complexes/108994,63.4751㎡,26평,28층,경산시 중산동,3억3천,2024.03.06,4억4천500,전세낀매수,1억430,68,2억2천570,2021.07.18
경상북도,경산시,중방e-편한세상3단지 ( 2010년),https://new.land.naver.com/complexes/26486,84.895㎡,33C평,16층,경산시 중방동,3억3천,2024.02.07,4억5천700,전세낀매수,8천,75,2억5천,2023.07.09
경상북도,경산시,펜타힐즈서한이다음 ( 2014년),https://new.land.naver.com/complexes/104188,72.8234㎡,29평,15층,경산시 중산동,3억2천,2024.01.30,4억5천,전세낀매수,2천,93,3억,2022.02.28
경상북도,경산시,경산하양호반써밋더퍼스트 ( 2021년),https://new.land.naver.com/complexes/124874,84.8778㎡,33A평,7층,하양읍 서사리,3억1천100,2024.03.04,3억6천,전세낀매수,8천100,73,2억3천,2023.12.29
경상북도,경산시,경산하양호반써밋더퍼스트 ( 2021년),https://new.land.naver.com/complexes/124874,84.5257㎡,33B평,17층,하양읍 서사리,3억500,2024.03.16,3억3천600,전세낀매수,5천500,81,2억5천,2023.10.19
경상북도,경산시,하양2차롯데낙천대 ( 2006년),https://new.land.naver.com/complexes/17744,84.97㎡,,19층,하양읍 금락리,3억250,2024.01.12,3억4천,전세낀매수,1억1천250,62,1억9천,2021.07.15
경상북도,경산시,경산 삼도뷰엔빌W ( 2018년),https://new.land.naver.com/complexes/110539,84.9688㎡,33평,15층,경산시 백천동,3억,2024.03.16,4억1천,전세낀매수,3천750,87,2억6천250,2022.07.07
