시/도,구,단지명,URL,입주일자,세대수,최고가,최저가(22년이후),최저가(2개월이내),매물최저가,최저비율,매물개수,80%이하개수,전세매물최고,전세가율,전세매물최저,전세매물개수
서울특별시,금천구,e편한세상독산더타워(소형),https://new.land.naver.com/complexes/115472,2019.11.28.,432세대(2동),9억1천,6억3천,7억2천200,7억4천,-18,11건,0건,5억5천,69,5억,6건
서울특별시,노원구,포레나노원(국평),https://new.land.naver.com/complexes/124506,2020.11.25.,"1,062세대(기타임대 141세대 포함, 총13동)",12억1천,10억5천,12억,11억3천,-6,29건,0건,7억5천,54,6억8천,4건
서울특별시,노원구,태릉해링턴플레이스(국평),https://new.land.naver.com/complexes/125162,2022.01.18.,"1,308세대(기타임대 47세대 포함, 총15동)",11억5천,10억,10억3천,10억5천,-8,18건,0건,,,,
서울특별시,노원구,노원센트럴푸르지오(국평),https://new.land.naver.com/complexes/117873,2020.02.22.,"810세대(기타임대 152세대 포함, 총7동)",12억5천,8억6천,0,10억3천,-17,21건,0건,8억,57,6억5천,9건
서울특별시,노원구,주공5(국평),https://new.land.naver.com/complexes/245,1992.04.29.,"2,328세대(18동)",13억,9억1천,9억8천,10억,-23,6건,1건,6억6천,54,6억5천,3건
서울특별시,노원구,월계센트럴아이파크(국평),https://new.land.naver.com/complexes/117590,2020.01.30.,"859세대(기타임대 69세대 포함, 총7동)",12억5천,7억5천,9억9천500,9억9천,-20,56건,6건,7억,56,5억6천,9건
서울특별시,노원구,포레나노원(소형),https://new.land.naver.com/complexes/124506,2020.11.25.,"1,062세대(기타임대 141세대 포함, 총13동)",10억5천,7억1천,9억,8억5천,-19,16건,0건,5억8천,58,5억1천,9건
서울특별시,노원구,월계센트럴아이파크(소형),https://new.land.naver.com/complexes/117590,2020.01.30.,"859세대(기타임대 69세대 포함, 총7동)",10억1천,7억2천,8억,8억5천,-15,24건,0건,5억,50,5억,2건
서울특별시,노원구,노원센트럴푸르지오(소형),https://new.land.naver.com/complexes/117873,2020.02.22.,"810세대(기타임대 152세대 포함, 총7동)",10억1천500,6억8천,7억7천500,8억2천,-19,19건,0건,7억,80,5억,8건
서울특별시,노원구,태릉해링턴플레이스(소형),https://new.land.naver.com/complexes/125162,2022.01.18.,"1,308세대(기타임대 47세대 포함, 총15동)",9억5천,7억2천,8억1천,8억1천,-14,18건,0건,5억7천,63,5억5천,2건
서울특별시,노원구,주공5(소형),https://new.land.naver.com/complexes/245,1992.04.29.,"2,328세대(18동)",8억9천700,6억1천500,6억5천,7억2천,-19,10건,0건,4억3천,51,2억7천560,12건
서울특별시,노원구,상계주공7(고층)(소형),https://new.land.naver.com/complexes/921,1988.07.27.,"2,634세대(21동)",8억7천,5억9천990,0,6억3천,-27,14건,9건,3억,42,3억,2건
서울특별시,도봉구,북한산아이파크5차(국평),https://new.land.naver.com/complexes/9106,2004.07.30.,"2,061세대(25동)",12억,7억9천,9억3천,9억,-25,20건,15건,5억3천,50,4억7천140,3건
서울특별시,도봉구,동아청솔(국평),https://new.land.naver.com/complexes/312,1997.03.24.,"1,981세대(18동)",11억9천900,7억8천300,9억5천,8억7천,-27,19건,9건,5억8천,50,4억,8건
서울특별시,도봉구,쌍용(국평),https://new.land.naver.com/complexes/322,1997.02.28.,"1,352세대(15동)",11억5천,7억7천200,9억,8억6천,-25,9건,3건,4억5천,47,4억5천,1건
서울특별시,도봉구,창동신도브래뉴1차(국평),https://new.land.naver.com/complexes/3005,2003.09.15.,456세대(7동),10억4천500,8억1천,8억7천,8억5천,-18,17건,0건,5억5천,50,4억9천,5건
서울특별시,도봉구,삼성래미안(국평),https://new.land.naver.com/complexes/8086,1992.07.31.,"1,668세대(18동)",11억,5억,7억9천,7억9천,-28,18건,16건,5억5천,61,4억3천,10건
서울특별시,도봉구,창동신도브래뉴1차(소형),https://new.land.naver.com/complexes/3005,2003.09.15.,456세대(7동),6억8천,6억8천,6억8천,7억5천,10,1건,0건,,,,
서울특별시,도봉구,주공19단지(창동리버타운)(소형),https://new.land.naver.com/complexes/317,1988.11.25.,"1,764세대(12동)",9억9천800,6억2천,6억7천,6억5천,-34,12건,12건,3억,40,2억6천,9건
서울특별시,도봉구,쌍용(소형),https://new.land.naver.com/complexes/322,1997.02.28.,"1,352세대(15동)",8억2천900,5억9천,6억4천700,6억5천,-21,11건,1건,3억9천,54,3억3천,4건
서울특별시,도봉구,동아청솔(소형),https://new.land.naver.com/complexes/312,1997.03.24.,"1,981세대(18동)",8억8천800,5억6천500,6억3천300,6억2천,-30,27건,18건,3억6천,48,3억3천,6건
서울특별시,도봉구,창동주공3단지(해등마을)(소형),https://new.land.naver.com/complexes/326,1990.09.06.,"2,856세대(32동)",8억9천700,5억1천,5억9천900,5억,-44,26건,24건,4억9천500,45,2억9천,7건
서울특별시,동대문구,래미안엘리니티(국평),https://new.land.naver.com/complexes/133184,2022.09.,"1,048세대(기타임대 179세대 포함, 총16동)",14억4천,11억4천,14억1천,14억3천,-0,21건,0건,9억,55,8억,12건
서울특별시,동대문구,래미안크레시티(국평),https://new.land.naver.com/complexes/103797,2013.04.,"2,397세대(기타임대 413세대 포함, 총31동)",17억,10억5천,13억9천500,14억2천,-16,40건,0건,7억3천,44,6억,7건
서울특별시,동대문구,이편한세상청계센트럴포레(국평),https://new.land.naver.com/complexes/103797,2021.11.,"823세대(기타임대 169세대 포함, 총8동)",14억7천,12억9천500,14억4천,14억,-4,21건,0건,9억,56,8억2천,6건
서울특별시,동대문구,래미안위브(국평),https://new.land.naver.com/complexes/104202,2014.10.13.,"2,652세대(기타임대 453세대 포함, 총32동)",15억5천,9억,13억4천,12억8천,-17,44건,0건,7억5천,48,6억6천,14건
